Vehicle_ID,Frame_ID,Local_X,Local_Y,v_Vel
1103,0,6.97,0.00,19.98
1103,1,6.98,1.99,19.95
1103,2,6.99,3.97,20.09
1103,3,7.01,5.96,20.60
1103,4,7.03,8.04,21.57
1103,5,7.02,10.27,22.93
1103,6,6.99,12.62,24.28
1103,7,6.93,15.13,25.26
1103,8,6.85,17.73,25.77
1103,9,6.78,20.34,25.91
1103,10,6.70,22.92,25.94
1103,11,6.63,25.51,26.06
1103,12,6.56,28.13,26.16
1103,13,6.48,30.76,26.16
1103,14,6.40,33.38,26.06
1103,15,6.32,35.98,25.92
1103,16,6.23,38.55,25.86
1103,17,6.15,41.14,25.86
1103,18,6.07,43.73,25.86
1103,19,5.99,46.31,25.86
1103,20,5.91,48.90,25.86
1103,21,5.83,51.49,25.87
1103,22,5.75,54.07,25.86
1103,23,5.67,56.66,25.80
1103,24,5.59,59.25,25.65
1103,25,5.53,61.80,25.43
1103,26,5.50,64.33,25.22
1103,27,5.50,66.84,25.07
1103,28,5.49,69.33,25.00
1103,29,5.49,71.83,25.00
1103,30,5.48,74.33,25.03
1103,31,5.48,76.85,24.95
1103,32,5.47,79.35,24.63
1103,33,5.46,81.80,24.14
1103,34,5.46,84.17,23.74
1103,35,5.45,86.49,23.74
1103,36,5.45,88.86,24.13
1103,37,5.44,91.31,24.62
1103,38,5.43,93.81,24.96
1103,39,5.43,96.33,25.07
1103,40,5.42,98.85,24.97
1103,41,5.44,101.35,24.68
1103,42,5.40,103.81,24.27
1103,43,5.29,106.19,23.97
1103,44,5.15,108.54,24.03
1103,45,5.10,110.94,24.42
1103,46,5.10,113.42,24.92
1103,47,5.19,115.95,25.30
1103,48,5.25,118.51,25.44
1103,49,5.30,121.06,25.42
1103,50,5.36,123.60,25.35
1121,0,-4.68,-58.70,32.16
1121,1,-4.69,-55.37,34.27
1121,2,-4.70,-51.87,36.11
1121,3,-4.68,-48.17,37.18
1121,4,-4.67,-44.38,37.56
1121,5,-4.65,-40.61,37.58
1121,6,-4.63,-36.86,37.54
1121,7,-4.62,-33.11,37.54
1121,8,-4.60,-29.35,37.54
1121,9,-4.58,-25.60,37.54
1121,10,-4.57,-21.85,37.54
1121,11,-4.55,-18.09,37.54
1121,12,-4.53,-14.34,37.54
1121,13,-4.52,-10.59,37.54
1121,14,-4.50,-6.83,37.54
1121,15,-4.48,-3.08,37.54
1121,16,-4.47,0.67,37.54
1121,17,-4.45,4.43,37.54
1121,18,-4.43,8.18,37.54
1121,19,-4.41,11.94,37.54
1121,20,-4.40,15.69,37.54
1121,21,-4.39,19.44,37.58
1121,22,-4.37,23.20,37.69
1121,23,-4.34,26.98,37.76
1121,24,-4.31,30.76,37.76
1121,25,-4.29,34.54,37.69
1121,26,-4.29,38.30,37.58
1121,27,-4.28,42.05,37.54
1121,28,-4.27,45.80,37.54
1121,29,-4.27,49.56,37.54
1121,30,-4.26,53.31,37.54
1121,31,-4.25,57.07,37.54
1121,32,-4.25,60.82,37.54
1121,33,-4.24,64.57,37.54
1121,34,-4.23,68.33,37.54
1121,35,-4.23,72.08,37.54
1121,36,-4.22,75.83,37.54
1121,37,-4.21,79.59,37.49
1121,38,-4.21,83.39,36.94
1121,39,-4.20,86.99,35.27
1121,40,-4.19,90.34,32.35
1121,41,-4.33,93.40,28.90
1121,42,-4.59,96.21,26.37
1121,43,-4.92,98.65,26.01
1121,44,-5.17,101.39,27.97
1121,45,-5.31,104.36,31.26
1121,46,-5.33,107.62,34.42
1121,47,-5.33,111.13,36.45
1121,48,-5.35,114.91,37.08
1121,49,-5.35,118.65,36.80
1121,50,-5.36,122.29,36.39
1096,0,6.51,-35.72,22.89
1096,1,6.52,-33.50,22.49
1096,2,6.54,-31.30,22.54
1096,3,6.55,-29.04,22.95
1096,4,6.57,-26.70,23.31
1096,5,6.58,-24.33,23.33
1096,6,6.60,-21.97,22.92
1096,7,6.61,-19.69,22.11
1096,8,6.63,-17.52,21.15
1096,9,6.64,-15.50,20.48
1096,10,6.66,-13.53,20.50
1096,11,6.67,-11.50,21.26
1096,12,6.69,-9.31,22.48
1096,13,6.70,-7.01,23.69
1096,14,6.71,-4.55,24.53
1096,15,6.73,-2.03,24.92
1096,16,6.75,0.47,25.05
1096,17,6.77,2.96,25.25
1096,18,6.79,5.48,25.77
1096,19,6.76,8.08,26.53
1096,20,6.71,10.79,27.30
1096,21,6.62,13.58,27.83
1096,22,6.49,16.40,28.07
1096,23,6.38,19.21,28.10
1096,24,6.26,22.02,28.14
1096,25,6.15,24.83,28.27
1096,26,6.03,27.67,28.37
1096,27,5.91,30.52,28.37
1096,28,5.79,33.36,28.27
1096,29,5.67,36.17,28.13
1096,30,5.54,38.97,28.07
1096,31,5.42,41.78,28.08
1096,32,5.30,44.59,28.10
1096,33,5.18,47.41,28.07
1096,34,5.05,50.23,27.83
1096,35,4.93,53.02,27.30
1096,36,4.85,55.73,26.53
1096,37,4.80,58.33,25.75
1096,38,4.79,60.84,25.19
1096,39,4.79,63.31,25.05
1096,40,4.78,65.78,25.43
1096,41,4.78,68.32,26.30
1096,42,4.78,71.02,27.50
1096,43,4.77,73.83,28.68
1096,44,4.76,76.78,29.49
1096,45,4.75,79.78,30.01
1096,46,4.76,82.78,30.53
1096,47,4.65,85.83,31.36
1096,48,4.44,89.02,32.45
1096,49,4.16,92.36,33.22
1096,50,3.77,95.76,33.28
1084,0,4.80,73.81,24.62
1084,1,4.79,76.32,24.94
1084,2,4.79,78.83,25.04
1084,3,4.78,81.34,25.02
1084,4,4.77,83.83,25.00
1084,5,4.77,86.33,25.00
1084,6,4.76,88.83,25.00
1084,7,4.75,91.33,25.00
1084,8,4.75,93.84,25.00
1084,9,4.74,96.34,25.00
1084,10,4.74,98.84,25.00
1084,11,4.73,101.34,25.00
1084,12,4.73,103.84,25.00
1084,13,4.72,106.33,25.00
1084,14,4.71,108.83,25.00
1084,15,4.71,111.34,25.00
1084,16,4.70,113.83,25.04
1084,17,4.69,116.34,25.12
1084,18,4.69,118.85,25.18
1084,19,4.68,121.38,25.18
1084,20,4.67,123.90,25.12
1084,21,4.66,126.41,25.04
1084,22,4.65,128.90,25.00
1084,23,4.64,131.40,25.00
1084,24,4.63,133.90,25.00
1084,25,4.62,136.40,25.01
1084,26,4.61,138.90,25.04
1084,27,4.60,141.42,24.97
1084,28,4.62,143.93,24.67
1084,29,4.57,146.39,24.15
1084,30,4.44,148.76,23.60
1084,31,4.32,151.07,23.31
1084,32,4.27,153.37,23.37
1084,33,4.29,155.72,23.60
1084,34,4.41,158.10,23.79
1084,35,4.50,160.50,23.85
1084,36,4.59,162.88,23.84
1084,37,4.68,165.26,23.83
1084,38,4.77,167.65,23.83
1084,39,4.86,170.03,23.83
1084,40,4.95,172.41,23.83
1084,41,5.04,174.79,23.83
1084,42,5.13,177.18,23.83
1084,43,5.23,179.56,23.83
1084,44,5.32,181.94,23.83
1084,45,5.41,184.33,23.83
1084,46,5.50,186.71,23.83
1084,47,5.59,189.09,23.83
1084,48,5.68,191.47,23.83
1084,49,5.77,193.86,23.79
1084,50,5.86,196.24,23.72
1119,0,-5.46,9.91,37.45
1119,1,-5.48,13.72,39.04
1119,2,-5.53,17.69,40.19
1119,3,-5.61,21.80,40.86
1119,4,-5.68,25.93,41.08
1119,5,-5.75,30.04,41.05
1119,6,-5.83,34.15,40.96
1119,7,-5.91,38.23,40.86
1119,8,-5.99,42.31,40.82
1119,9,-6.07,46.39,40.82
1119,10,-6.15,50.47,40.82
1119,11,-6.23,54.56,40.81
1119,12,-6.31,58.64,40.75
1119,13,-6.39,62.72,40.61
1119,14,-6.45,66.77,40.41
1119,15,-6.48,70.80,40.20
1119,16,-6.49,74.81,40.06
1119,17,-6.50,78.80,40.00
1119,18,-6.51,82.80,39.99
1119,19,-6.52,86.80,40.00
1119,20,-6.53,90.80,40.00
1119,21,-6.53,94.80,40.00
1119,22,-6.55,98.80,40.00
1119,23,-6.55,102.80,40.00
1119,24,-6.57,106.80,40.00
1119,25,-6.57,110.80,40.03
1119,26,-6.58,114.80,40.08
1119,27,-6.59,118.81,40.13
1119,28,-6.61,122.83,40.14
1119,29,-6.62,126.85,40.12
1119,30,-6.64,130.87,39.97
1119,31,-6.65,134.87,39.62
1119,32,-6.67,138.82,39.13
1119,33,-6.69,142.69,38.74
1119,34,-6.70,146.51,38.76
1119,35,-6.72,150.37,39.17
1119,36,-6.73,154.34,39.57
1119,37,-6.75,158.35,39.57
1119,38,-6.77,162.32,39.17
1119,39,-6.78,166.19,38.78
1119,40,-6.80,170.01,38.78
1119,41,-6.81,173.89,39.10
1119,42,-6.83,177.85,39.29
1119,43,-6.84,181.82,39.04
1119,44,-6.86,185.71,38.44
1119,45,-6.87,189.50,37.82
1119,46,-6.89,193.24,37.43
1119,47,-6.91,196.94,37.41
1119,48,-6.92,200.67,37.77
1119,49,-6.93,204.46,38.31
1119,50,-6.94,208.36,38.64
